iter	Passed	Remaining
0	252	252649
1	403	201554
2	557	185132
3	704	175502
4	870	173281
5	1042	172708
6	1238	175653
7	1429	177209
8	1599	176091
9	1754	173681
10	1923	172896
11	2102	173072
12	2255	171208
13	2410	169736
14	2572	168947
15	2731	168015
16	2906	168037
17	3064	167161
18	3229	166751
19	3402	166703
20	3579	166870
21	3729	165793
22	3885	165045
23	4078	165849
24	4239	165349
25	4399	164803
26	4559	164302
27	4721	163890
28	4901	164117
29	5090	164579
30	5280	165049
31	5467	165399
32	5635	165123
33	5806	164969
34	5997	165348
35	6165	165094
36	6330	164764
37	6492	164371
38	6662	164169
39	6828	163883
40	6989	163481
41	7175	163661
42	7354	163675
43	7519	163384
44	7713	163696
45	7886	163560
46	8051	163263
47	8218	162997
48	8399	163018
49	8567	162788
50	8737	162587
51	8923	162685
52	9100	162608
53	9284	162650
54	9459	162530
55	9630	162341
56	9833	162688
57	10012	162611
58	10186	162472
59	10354	162220
60	10530	162095
61	10699	161872
62	10871	161694
63	11055	161691
64	11233	161584
65	11418	161594
66	11612	161713
67	11816	161953
68	12062	162760
69	12299	163412
70	12495	163501
71	12699	163686
72	12900	163821
73	13093	163841
74	13288	163890
75	13466	163722
76	13673	163905
77	13871	163967
78	14055	163858
79	14235	163705
80	14423	163639
81	14606	163523
82	14824	163782
83	15025	163845
84	15211	163742
85	15405	163723
86	15598	163695
87	15792	163663
88	15981	163586
89	16173	163527
90	16368	163500
91	16561	163459
92	16751	163373
93	16941	163284
94	17130	163189
95	17314	163041
96	17514	163046
97	17702	162933
98	17927	163155
99	18120	163082
100	18417	163931
101	18764	165199
102	19139	166679
103	19337	166597
104	19537	166532
105	19733	166435
106	19940	166419
107	20159	166503
108	20349	166342
109	20558	166336
110	20781	166435
111	21003	166528
112	21224	166600
113	21459	166779
114	21692	166939
115	21935	167160
116	22130	167020
117	22325	166870
118	22522	166741
119	22744	166793
120	22947	166704
121	23169	166740
122	23367	166612
123	23554	166399
124	23750	166250
125	23951	166141
126	24147	165989
127	24344	165846
128	24536	165666
129	24731	165512
130	24923	165331
131	25113	165137
132	25304	164957
133	25494	164765
134	25683	164567
135	25872	164368
136	26061	164169
137	26260	164031
138	26476	164002
139	26664	163799
140	26881	163765
141	27076	163603
142	27268	163422
143	27459	163233
144	27654	163065
145	27851	162909
146	28061	162832
147	28266	162721
148	28463	162567
149	28663	162426
150	28858	162256
151	29055	162097
152	29244	161898
153	29448	161774
154	29644	161610
155	29870	161608
156	30088	161555
157	30286	161402
158	30487	161257
159	30690	161123
160	30889	160968
161	31098	160866
162	31310	160776
163	31506	160607
164	31708	160465
165	31921	160378
166	32127	160254
167	32335	160135
168	32543	160023
169	32773	160009
170	32969	159834
171	33166	159664
172	33361	159481
173	33585	159433
174	33788	159288
175	33996	159166
176	34189	158973
177	34390	158813
178	34591	158657
179	34808	158571
180	35019	158457
181	35218	158291
182	35420	158133
183	35619	157964
184	35849	157930
185	36147	158193
186	36506	158717
187	36859	159202
188	37205	159649
189	37404	159459
190	37608	159293
191	37811	159124
192	38020	158976
193	38249	158911
194	38437	158678
195	38634	158481
196	38849	158356
197	39065	158235
198	39259	158024
199	39456	157827
200	39647	157603
201	39841	157394
202	40040	157204
203	40236	157002
204	40433	156801
205	40631	156608
206	40822	156389
207	41023	156204
208	41254	156137
209	41488	156077
210	41705	155951
211	41947	155918
212	42146	155725
213	42370	155622
214	42565	155412
215	42763	155216
216	42962	155020
217	43156	154809
218	43360	154633
219	43560	154442
220	43755	154233
221	43954	154039
222	44166	153888
223	44356	153663
224	44556	153471
225	44762	153300
226	44965	153119
227	45174	152958
228	45369	152750
229	45567	152552
230	45770	152371
231	45973	152188
232	46179	152015
233	46375	151810
234	46571	151604
235	46774	151421
236	46975	151231
237	47170	151024
238	47368	150824
239	47568	150633
240	47784	150492
241	48009	150376
242	48207	150175
243	48410	149994
244	48602	149775
245	48805	149590
246	49016	149429
247	49218	149244
248	49504	149308
249	49716	149149
250	49936	149012
251	50145	148844
252	50351	148667
253	50583	148564
254	50810	148445
255	51061	148396
256	51302	148318
257	51547	148247
258	51763	148094
259	51981	147946
260	52204	147811
261	52429	147681
262	52647	147533
263	52852	147346
264	53051	147143
265	53249	146937
266	53446	146728
267	53639	146509
268	53848	146332
269	54051	146140
270	54282	146022
271	54623	146197
272	54959	146357
273	55252	146399
274	55449	146186
275	55646	145970
276	55851	145777
277	56043	145550
278	56239	145337
279	56438	145127
280	56641	144930
281	56849	144744
282	57052	144547
283	57248	144330
284	57443	144113
285	57644	143910
286	57862	143749
287	58112	143666
288	58309	143453
289	58515	143262
290	58725	143080
291	58928	142881
292	59134	142690
293	59327	142465
294	59533	142275
295	59743	142093
296	59985	141985
297	60209	141836
298	60439	141699
299	60636	141485
300	60827	141257
301	61024	141043
302	61216	140817
303	61406	140588
304	61606	140381
305	61803	140168
306	62000	139954
307	62197	139741
308	62398	139538
309	62591	139317
310	62793	139114
311	63005	138934
312	63199	138715
313	63390	138490
314	63579	138260
315	63781	138059
316	63974	137838
317	64196	137679
318	64393	137467
319	64586	137246
320	64783	137034
321	64974	136809
322	65164	136584
323	65361	136372
324	65554	136150
325	65791	136022
326	66099	136039
327	66294	135823
328	66509	135646
329	66706	135435
330	66919	135254
331	67130	135069
332	67344	134892
333	67552	134699
334	67748	134485
335	67961	134304
336	68162	134099
337	68360	133890
338	68561	133685
339	68773	133501
340	68999	133345
341	69235	133207
342	69470	133066
343	69707	132929
344	69907	132722
345	70141	132579
346	70338	132365
347	70590	132255
348	70801	132067
349	71006	131870
350	71210	131668
351	71411	131461
352	71646	131318
353	71869	131151
354	72087	130975
355	72358	130894
356	72725	130987
357	73117	131121
358	73514	131260
359	73879	131341
360	74241	131414
361	74464	131238
362	74675	131042
363	74907	130882
364	75114	130678
365	75319	130472
366	75529	130272
367	75738	130073
368	75962	129898
369	76179	129710
370	76382	129500
371	76587	129292
372	76795	129090
373	77002	128887
374	77211	128686
375	77414	128475
376	77610	128252
377	77820	128053
378	78023	127843
379	78221	127624
380	78419	127406
381	78620	127192
382	78816	126971
383	79016	126755
384	79221	126549
385	79434	126354
386	79654	126171
387	79869	125979
388	80082	125785
389	80281	125568
390	80484	125358
391	80692	125155
392	80983	125082
393	81348	125120
394	81632	125032
395	81871	124874
396	82120	124732
397	82375	124598
398	82594	124409
399	82800	124201
400	83011	123999
401	83224	123801
402	83437	123603
403	83643	123394
404	83873	123220
405	84102	123046
406	84299	122823
407	84502	122611
408	84717	122415
409	84930	122217
410	85132	122002
411	85332	121785
412	85541	121580
413	85759	121389
414	85981	121203
415	86193	121002
416	86421	120824
417	86654	120652
418	86904	120504
419	87105	120288
420	87303	120068
421	87503	119850
422	87706	119637
423	87950	119479
424	88153	119266
425	88355	119051
426	88555	118834
427	88753	118614
428	88955	118399
429	89176	118210
430	89397	118020
431	89595	117800
432	89819	117615
433	90013	117390
434	90217	117178
435	90409	116951
436	90610	116736
437	90818	116529
438	91022	116317
439	91229	116109
440	91590	116097
441	91930	116056
442	92347	116111
443	92623	115987
444	92887	115849
445	93123	115673
446	93352	115489
447	93574	115297
448	93787	115093
449	94010	114902
450	94226	114701
451	94432	114489
452	94630	114266
453	94837	114055
454	95033	113831
455	95239	113618
456	95473	113439
457	95704	113257
458	95926	113063
459	96129	112848
460	96343	112644
461	96558	112443
462	96799	112271
463	97013	112067
464	97264	111905
465	97483	111708
466	97731	111543
467	97933	111325
468	98151	111126
469	98357	110913
470	98564	110701
471	98790	110511
472	98988	110289
473	99210	110094
474	99408	109872
475	99626	109673
476	99826	109453
477	100049	109259
478	100253	109044
479	100449	108820
480	100646	108597
481	100836	108367
482	101034	108147
483	101229	107922
484	101426	107699
485	101618	107473
486	101828	107264
487	102029	107047
488	102223	106821
489	102422	106603
490	102613	106375
491	102813	106156
492	103003	105928
493	103202	105709
494	103395	105483
495	103591	105262
496	103782	105034
497	103979	104815
498	104177	104594
499	104382	104382
500	104602	104184
501	104836	104001
502	105068	103815
503	105264	103593
504	105469	103381
505	105677	103171
506	105911	102987
507	106112	102770
508	106337	102577
509	106563	102384
510	106781	102183
511	106995	101980
512	107245	101809
513	107512	101655
514	107809	101529
515	108153	101446
516	108565	101426
517	109006	101430
518	109446	101433
519	109866	101414
520	110376	101478
521	110660	101333
522	110921	101165
523	111226	101037
524	111601	100973
525	111933	100868
526	112212	100714
527	112509	100577
528	112790	100424
529	113065	100265
530	113331	100099
531	113597	99931
532	113895	99792
533	114172	99633
534	114481	99502
535	114802	99381
536	115092	99232
537	115446	99137
538	115729	98982
539	116004	98818
540	116294	98667
541	116584	98516
542	116866	98356
543	117172	98217
544	117472	98073
545	117746	97906
546	118025	97743
547	118304	97579
548	118575	97409
549	118824	97219
550	119140	97085
551	119441	96937
552	119705	96760
553	119952	96568
554	120207	96382
555	120464	96198
556	120673	95975
557	120882	95752
558	121100	95537
559	121306	95312
560	121515	95089
561	121745	94883
562	122101	94775
563	122518	94713
564	122962	94670
565	123412	94630
566	124002	94696
567	124479	94674
568	124748	94493
569	125007	94303
570	125287	94130
571	125513	93915
572	125768	93722
573	126025	93531
574	126245	93311
575	126486	93108
576	126710	92891
577	126948	92685
578	127242	92520
579	127495	92324
580	127727	92113
581	127948	91894
582	128185	91686
583	128423	91479
584	128646	91261
585	128890	91059
586	129122	90847
587	129344	90629
588	129576	90417
589	129807	90205
590	130035	89990
591	130287	89792
592	130528	89586
593	130777	89386
594	131014	89177
595	131263	88977
596	131497	88765
597	131757	88572
598	131981	88355
599	132211	88141
600	132481	87953
601	132717	87743
602	132941	87525
603	133176	87314
604	133503	87163
605	133783	86981
606	133994	86754
607	134219	86536
608	134445	86318
609	134711	86127
610	134985	85939
611	135249	85746
612	135499	85543
613	135826	85389
614	136284	85316
615	136843	85305
616	137359	85265
617	137805	85180
618	138268	85105
619	138739	85033
620	139174	84938
621	139514	84785
622	139739	84561
623	140063	84397
624	140296	84177
625	140530	83958
626	140750	83732
627	140969	83504
628	141176	83269
629	141387	83036
630	141631	82824
631	141875	82611
632	142084	82377
633	142298	82147
634	142580	81955
635	142778	81716
636	142983	81480
637	143239	81274
638	143445	81039
639	143653	80805
640	143850	80565
641	144060	80332
642	144270	80100
643	144483	79869
644	144694	79637
645	144906	79407
646	145158	79198
647	145410	78988
648	145651	78773
649	145855	78537
650	146066	78306
651	146282	78076
652	146490	77844
653	146707	77616
654	146903	77376
655	147130	77153
656	147345	76924
657	147554	76692
658	147778	76468
659	147988	76236
660	148212	76012
661	148459	75799
662	148690	75578
663	148920	75357
664	149139	75130
665	149377	74912
666	149606	74690
667	149829	74466
668	150060	74245
669	150271	74014
670	150482	73783
671	150793	73601
672	151140	73436
673	151524	73289
674	151905	73139
675	152256	72975
676	152594	72803
677	152930	72630
678	153293	72469
679	153508	72239
680	153710	72002
681	153905	71762
682	154103	71523
683	154294	71282
684	154490	71042
685	154686	70803
686	154881	70564
687	155074	70324
688	155280	70090
689	155474	69851
690	155682	69617
691	155872	69376
692	156067	69138
693	156267	68901
694	156475	68669
695	156672	68431
696	156891	68203
697	157093	67968
698	157289	67731
699	157495	67498
700	157689	67259
701	157887	67023
702	158075	66783
703	158279	66549
704	158481	66315
705	158686	66081
706	158885	65846
707	159080	65609
708	159284	65376
709	159506	65150
710	159704	64914
711	159899	64678
712	160094	64441
713	160299	64209
714	160496	63974
715	160701	63741
716	160896	63505
717	161101	63273
718	161304	63041
719	161510	62809
720	161759	62595
721	161973	62366
722	162192	62140
723	162388	61904
724	162594	61673
725	162800	61442
726	162997	61208
727	163199	60975
728	163400	60742
729	163592	60506
730	163794	60274
731	163986	60038
732	164183	59805
733	164381	59571
734	164583	59339
735	164775	59104
736	164971	58870
737	165170	58637
738	165459	58437
739	165803	58255
740	166152	58074
741	166499	57893
742	166833	57707
743	167175	57522
744	167442	57312
745	167626	57074
746	167819	56838
747	168017	56604
748	168212	56370
749	168400	56133
750	168599	55900
751	168788	55664
752	168982	55429
753	169175	55195
754	169367	54960
755	169559	54725
756	169751	54490
757	169945	54257
758	170146	54025
759	170337	53790
760	170536	53558
761	170725	53323
762	170950	53100
763	171195	52882
764	171407	52654
765	171601	52421
766	171807	52191
767	172001	51958
768	172213	51731
769	172437	51507
770	172637	51276
771	172837	51045
772	173039	50814
773	173245	50585
774	173469	50362
775	173702	50141
776	173923	49916
777	174141	49690
778	174361	49465
779	174569	49237
780	174779	49009
781	174987	48781
782	175188	48551
783	175393	48322
784	175603	48095
785	175821	47869
786	176026	47641
787	176227	47411
788	176439	47184
789	176639	46954
790	176843	46725
791	177048	46497
792	177264	46272
793	177469	46043
794	177676	45815
795	177881	45587
796	178096	45362
797	178298	45133
798	178515	44908
799	178744	44686
800	178953	44459
801	179168	44233
802	179418	44016
803	179836	43840
804	180216	43655
805	180594	43468
806	180994	43286
807	181381	43100
808	181583	42870
809	181812	42647
810	182040	42423
811	182293	42205
812	182508	41979
813	182751	41758
814	182982	41535
815	183242	41319
816	183470	41095
817	183682	40868
818	183890	40640
819	184104	40413
820	184302	40182
821	184521	39957
822	184728	39729
823	184968	39507
824	185181	39280
825	185394	39054
826	185599	38825
827	185806	38597
828	186016	38370
829	186227	38142
830	186437	37915
831	186658	37690
832	186864	37462
833	187075	37235
834	187304	37012
835	187530	36788
836	187766	36566
837	187995	36342
838	188218	36118
839	188431	35891
840	188661	35668
841	188890	35445
842	189148	35227
843	189397	35007
844	189638	34785
845	189841	34557
846	190052	34330
847	190263	34103
848	190476	33877
849	190680	33649
850	190891	33422
851	191096	33195
852	191303	32967
853	191516	32741
854	191724	32514
855	191944	32289
856	192173	32066
857	192380	31839
858	192588	31612
859	192796	31385
860	193004	31158
861	193212	30931
862	193440	30708
863	193768	30500
864	194121	30296
865	194467	30090
866	194797	29882
867	195152	29677
868	195431	29460
869	195630	29232
870	195824	29002
871	196034	28775
872	196263	28551
873	196469	28323
874	196673	28096
875	196869	27867
876	197068	27639
877	197271	27411
878	197481	27184
879	197688	26957
880	197887	26729
881	198084	26501
882	198288	26273
883	198487	26045
884	198685	25817
885	198897	25591
886	199132	25368
887	199368	25145
888	199572	24918
889	199786	24692
890	200033	24470
891	200283	24249
892	200514	24025
893	200749	23802
894	201034	23585
895	201389	23375
896	201747	23166
897	202115	22957
898	202464	22746
899	202746	22527
900	203054	22311
901	203309	22089
902	203608	21871
903	203881	21651
904	204204	21435
905	204494	21216
906	204785	20997
907	205105	20781
908	205414	20563
909	205749	20348
910	206085	20133
911	206410	19916
912	206757	19701
913	207093	19485
914	207472	19273
915	208061	19079
916	208619	18882
917	209232	18689
918	209881	18498
919	210479	18302
920	210794	18081
921	211171	17864
922	211406	17636
923	211657	17409
924	211929	17183
925	212186	16956
926	212528	16736
927	212798	16510
928	213054	16282
929	213319	16056
930	213583	15829
931	213837	15601
932	214176	15380
933	214447	15153
934	214686	14924
935	214931	14696
936	215171	14467
937	215403	14237
938	215647	14009
939	215889	13780
940	216236	13557
941	216462	13327
942	216660	13096
943	216873	12865
944	217082	12634
945	217288	12403
946	217502	12172
947	217702	11941
948	217898	11710
949	218097	11478
950	218293	11247
951	218490	11016
952	218688	10785
953	218902	10555
954	219108	10324
955	219300	10093
956	219504	9862
957	219706	9632
958	219901	9401
959	220106	9171
960	220307	8940
961	220507	8710
962	220719	8480
963	220918	8250
964	221117	8019
965	221331	7790
966	221534	7560
967	221738	7330
968	221939	7100
969	222144	6870
970	222399	6642
971	222980	6423
972	223482	6201
973	223969	5978
974	224465	5755
975	224951	5531
976	225418	5306
977	225675	5076
978	225973	4847
979	226201	4616
980	226403	4384
981	226620	4153
982	226832	3922
983	227034	3691
984	227231	3460
985	227428	3229
986	227626	2998
987	227817	2767
988	228009	2536
989	228203	2305
990	228395	2074
991	228589	1843
992	228787	1612
993	228988	1382
994	229185	1151
995	229377	921
996	229574	690
997	229771	460
998	229970	230
999	230168	0
